,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Adam8,1.31E-06,0.424048787,0.702,0.665,0.053551091
Fetub,1.32E-06,1.566883076,0.082,0.211,0.054208113
Cacnb4,1.48E-06,-1.516677223,0.226,0.091,0.060742216
Rhobtb1,1.54E-06,-0.678139266,0.422,0.247,0.063142623
Lgmn,1.64E-06,-0.769883574,0.221,0.091,0.067291441
Jund,1.77E-06,-0.409619119,0.831,0.693,0.07261461
Mrpl14,1.78E-06,-0.670546032,0.447,0.269,0.073010993
Tnni3,1.84E-06,-0.759267859,0.462,0.283,0.07510683
Erdr1y,1.88E-06,-1.286856681,0.189,0.066,0.076950596
Bsg,2.16E-06,0.353290902,0.859,0.831,0.088278755
Ndufa7,2.18E-06,-0.337303605,0.715,0.54,0.089034523
Tpm3,2.22E-06,-0.182868477,0.655,0.488,0.090942511
ENSMUSG00000121783,2.34E-06,-0.509848374,0.586,0.404,0.095884675
Gm49318,2.63E-06,-0.962299654,0.176,0.064,0.107555902
Ctsd,2.81E-06,0.626446144,0.663,0.668,0.115070985
Atp5mk,2.83E-06,-0.284524286,0.653,0.488,0.115951217
Morf4l1,2.88E-06,-0.233051055,0.653,0.479,0.117654596
Mpnd,2.95E-06,-0.866866346,0.323,0.166,0.120829734
Nabp1,3.05E-06,-0.456869975,0.325,0.177,0.124889851
Kcnj13,3.14E-06,-0.83038099,0.404,0.235,0.12843701
Rpl18,3.18E-06,-0.383676179,0.891,0.765,0.13017619
Gm16015,3.29E-06,-2.221208643,0.149,0.047,0.134554042
Itln1,3.60E-06,1.491762453,0.156,0.255,0.14742309
Lhx4,3.61E-06,-1.836641526,0.154,0.047,0.14784867
Rabl2,3.62E-06,-0.706223681,0.489,0.313,0.148156434
Higd1a,3.62E-06,-0.404715622,0.548,0.38,0.148287971
Itgam,3.65E-06,-2.685707328,0.084,0.011,0.149505103
Atp5po,3.95E-06,-0.390874849,0.71,0.54,0.161431463
Plac9,4.76E-06,0.838467746,0.437,0.474,0.194549037
Atp5mc3,4.76E-06,-0.232386781,0.553,0.391,0.194942207
Ndufa2,4.81E-06,-0.277462661,0.794,0.634,0.196591503
Mgst1,4.94E-06,0.563584495,0.476,0.485,0.202179333
Tpm1,5.05E-06,-0.415466832,0.923,0.87,0.206531512
Rpl7,5.06E-06,-0.368899412,0.824,0.67,0.207101013
ENSMUSG00000141748,5.10E-06,0.542111871,0.541,0.554,0.208570292
Ap1s3,5.16E-06,-1.134445549,0.295,0.15,0.211270514
Paip2,5.29E-06,-0.50353215,0.566,0.388,0.216298228
Arl4a,5.45E-06,-0.75037855,0.444,0.274,0.222793341
Krt16,5.56E-06,1.129312941,0.31,0.418,0.227564295
Rps8,5.75E-06,-0.29500327,0.98,0.934,0.235212129
Cyb561,5.92E-06,0.533444837,0.39,0.349,0.242303868
Elavl3,6.03E-06,-1.371889579,0.221,0.094,0.246777321
Stk36,6.26E-06,-0.751875031,0.37,0.211,0.256052666
Aldh3a1,6.32E-06,0.930929825,0.355,0.432,0.258763007
Cxcl5,6.44E-06,2.161030786,0.065,0.166,0.263356321
Rnf8,6.44E-06,-1.184321352,0.218,0.091,0.263399272
Ndufb2,6.59E-06,-0.116440094,0.571,0.418,0.269407686
Gpx3,6.85E-06,-0.438934464,0.3,0.163,0.280362884
Fhl2,7.21E-06,-0.428869626,0.702,0.535,0.295038317
Cbr1,7.24E-06,0.600885554,0.499,0.554,0.296178769
Jarid2,7.27E-06,0.847680667,0.834,0.823,0.29738314
Cdhr4,7.39E-06,0.463902819,0.754,0.756,0.302208515
Mtss1,7.62E-06,0.897512926,0.323,0.352,0.311774702
Comt,7.79E-06,-0.432113467,0.491,0.321,0.318841999
Gm8013,8.04E-06,-0.799069566,0.181,0.078,0.329037647
Actn2,8.54E-06,-1.194500966,0.184,0.069,0.349271873
Kctd8,8.99E-06,-0.584490409,0.419,0.258,0.367838085
Ly6g6c,9.02E-06,-0.990048898,0.164,0.058,0.369227573
Ankfn1,9.21E-06,0.182099496,0.69,0.601,0.376714083
S100a8,9.23E-06,-4.526424973,0.04,0,0.377550632
Rpl34,9.56E-06,-0.303949272,0.893,0.767,0.391072695
Lcor,9.74E-06,-0.364373218,0.457,0.294,0.398397241
Macrod1,1.00E-05,-0.718580039,0.357,0.202,0.410469734
Cfap206,1.03E-05,-0.17483292,0.655,0.501,0.42014506
Sri,1.07E-05,-0.170464535,0.635,0.476,0.438532008
Cfl2,1.08E-05,-0.765338848,0.345,0.194,0.442274906
Eif3f,1.12E-05,-0.404842794,0.558,0.388,0.459453912
Slc47a1,1.14E-05,-2.216915124,0.119,0.03,0.466804839
Rab3ip,1.15E-05,-0.56467026,0.385,0.227,0.47235113
Slc47a2,1.16E-05,-3.024852886,0.079,0.011,0.476329795
Slc24a3,1.19E-05,-0.537636368,0.571,0.399,0.485778836
Srsf10,1.20E-05,-0.59655284,0.598,0.429,0.489957765
Spint2,1.21E-05,0.293245345,0.896,0.856,0.493375965
Cbr3,1.22E-05,0.804442827,0.35,0.368,0.49998067
Esd,1.28E-05,0.342303203,0.655,0.615,0.521967427
Adcy9,1.28E-05,-0.238306584,0.273,0.158,0.522019946
Ift43,1.39E-05,-0.370295136,0.774,0.62,0.567595329
Znhit1,1.41E-05,0.373891332,0.615,0.593,0.5752819
Atp5mc1,1.45E-05,-0.516356602,0.576,0.407,0.59446489
Cfap58,1.46E-05,0.262123349,0.305,0.23,0.597956936
Sftpb,1.55E-05,-0.994348054,0.236,0.108,0.632496878
Ptbp3,1.56E-05,0.189025639,0.367,0.263,0.636365358
Lrrc45,1.57E-05,0.608572222,0.417,0.391,0.641459983
Sptbn1,1.58E-05,0.346841258,0.752,0.698,0.64514553
Baiap2,1.58E-05,0.273366468,0.784,0.74,0.647415726
Rps27rt,1.62E-05,-0.387933477,0.486,0.327,0.662445012
Eno3,1.64E-05,-3.320013017,0.082,0.014,0.66979115
Nav2,1.66E-05,-1.688984758,0.223,0.114,0.678783124
mt-Nd1,1.68E-05,-0.144357182,0.928,0.817,0.686735054
Spag6l,1.77E-05,-0.546037445,0.62,0.46,0.724723627
ENSMUSG00000134039,1.80E-05,-1.422437712,0.171,0.064,0.736917542
Meis1,1.82E-05,-0.818262138,0.191,0.083,0.743035555
Ackr3,1.85E-05,-1.431275381,0.144,0.047,0.75775676
Tjp2,1.89E-05,0.183188822,0.732,0.645,0.772779914
Smim5,1.90E-05,-0.6470464,0.395,0.238,0.77590146
Snhg7,1.90E-05,-0.701379641,0.263,0.136,0.777088979
Exoc4,1.92E-05,0.447879037,0.444,0.393,0.783543989
Sec14l3,1.94E-05,0.313948783,0.891,0.864,0.795251124
Timp2,1.96E-05,-0.378753674,0.437,0.288,0.799887581
ENSMUSG00000129467,1.96E-05,-1.436387435,0.191,0.078,0.802286179
Inmt,1.98E-05,-0.958924203,0.345,0.197,0.808231114
Ppil6,1.99E-05,-0.50695511,0.603,0.44,0.812992245
Cfap68,2.06E-05,-0.340818313,0.484,0.327,0.840976318
Rps3,2.11E-05,-0.282492152,0.873,0.742,0.862177251
Saxo2,2.13E-05,-0.568371782,0.447,0.285,0.871745332
Shisa5,2.23E-05,0.555943044,0.412,0.371,0.914014277
Aox3,2.24E-05,1.045981931,0.218,0.296,0.915836988
Plcg2,2.24E-05,-1.018107898,0.174,0.066,0.918454749
Ier5,2.25E-05,-0.570417362,0.63,0.471,0.921747886
Ddx39b,2.35E-05,-0.509494181,0.462,0.302,0.959960454
Stox2,2.39E-05,0.253315149,0.613,0.521,0.975817619
Ift25,2.39E-05,-0.302965336,0.439,0.291,0.976102051
Calr,2.41E-05,0.336308699,0.71,0.681,0.987154401
Ckm,2.45E-05,-1.832645102,0.134,0.042,1
Nemp1,2.46E-05,-0.290255438,0.169,0.08,1
Dnaja1,2.46E-05,-0.509394395,0.633,0.468,1
Ybx1,2.53E-05,-0.292523107,0.782,0.632,1
Cdk14,2.54E-05,0.472359171,0.553,0.535,1
Snrnp70,2.60E-05,-0.391712628,0.685,0.524,1
Ctsh,2.62E-05,0.463925589,0.474,0.427,1
Macrod2,2.66E-05,-1.367855515,0.228,0.108,1
Cirbp,2.73E-05,-0.563180526,0.352,0.205,1
Tomm6,2.79E-05,-0.36848371,0.64,0.476,1
Eif3b,2.82E-05,-0.499855067,0.377,0.233,1
Fermt2,2.84E-05,-0.308433695,0.519,0.363,1
Cox7a2l,2.85E-05,-0.872985953,0.377,0.227,1
Tpt1,2.89E-05,-0.211893183,0.98,0.934,1
Anapc13,2.98E-05,0.463817764,0.61,0.607,1
Saxo4,2.98E-05,-0.328464581,0.33,0.202,1
H4c4,3.06E-05,-1.262024653,0.094,0.022,1
Hsp90ab1,3.07E-05,0.323170098,0.983,0.989,1
D8Ertd738e,3.11E-05,-0.187706459,0.603,0.449,1
Odad4,3.11E-05,0.608830465,0.444,0.468,1
Gm47507,3.12E-05,-1.360619847,0.203,0.089,1
Itm2b,3.14E-05,0.300548292,0.846,0.817,1
Atxn7l3b,3.15E-05,-0.439316953,0.434,0.28,1
Nts,3.16E-05,-3.900948396,0.06,0.006,1
Gm57055,3.16E-05,-0.490353295,0.506,0.343,1
ENSMUSG00000141880,3.18E-05,-2.281523855,0.06,0.006,1
Mok,3.25E-05,-0.181508368,0.551,0.402,1
Rfc2,3.25E-05,-0.568632671,0.437,0.28,1
Pdlim3,3.29E-05,-1.322405221,0.236,0.114,1
Grik4,3.34E-05,-2.319965854,0.087,0.017,1
ENSMUSG00000132066,3.35E-05,-0.73671008,0.151,0.058,1
Gm16685,3.44E-05,-0.953433273,0.298,0.161,1
Arap1,3.51E-05,-0.757956786,0.355,0.208,1
Igha,3.52E-05,1.682937599,0.074,0.163,1
Isg20,3.57E-05,-0.421480575,0.712,0.557,1
Bbof1,3.57E-05,-0.509858889,0.566,0.404,1
Gm31458,3.61E-05,-4.336835921,0.035,0,1
Tstd1,3.61E-05,-0.610007574,0.34,0.197,1
Cox5a,3.71E-05,-0.363607704,0.628,0.465,1
Fam83b,3.80E-05,3.139219632,0.022,0.089,1
Il2rg,3.80E-05,-1.816925512,0.084,0.017,1
Dcn,3.81E-05,-0.437221848,0.486,0.327,1
Nme5,3.86E-05,-0.418957357,0.72,0.565,1
Wbp11,3.89E-05,-0.133140157,0.335,0.219,1
Dpy30,4.01E-05,-0.163246375,0.479,0.341,1
Romo1,4.06E-05,-0.275148393,0.62,0.465,1
Gm56834,4.19E-05,-1.298757401,0.112,0.03,1
Hspb1,4.33E-05,-0.234306904,0.682,0.529,1
ENSMUSG00000130475,4.33E-05,-0.985075362,0.275,0.144,1
Serpinb2,4.44E-05,-0.864157216,0.174,0.072,1
mt-Cytb,4.50E-05,-0.481885583,0.945,0.886,1
Gpsm1,4.54E-05,-2.487105275,0.079,0.014,1
Hoatz,4.55E-05,-0.377875421,0.511,0.357,1
Serpinb6a,4.57E-05,-0.217764036,0.583,0.435,1
Med8,4.63E-05,-1.017935071,0.221,0.102,1
Rpl22l1,4.65E-05,-0.306404377,0.444,0.291,1
Rplp1,4.80E-05,-0.232519772,0.993,0.967,1
Gm12709,4.91E-05,-3.235093878,0.072,0.011,1
Btg2,5.00E-05,-0.325396495,0.524,0.368,1
Rbpms,5.02E-05,-0.462425339,0.68,0.529,1
Atp5f1c,5.03E-05,-0.536623769,0.504,0.346,1
Cyth2,5.04E-05,-0.537417476,0.342,0.205,1
ENSMUSG00000130539,5.24E-05,-0.3876178,0.305,0.186,1
Rplp0,5.25E-05,-0.43583719,0.866,0.765,1
Smad1,5.30E-05,-0.773268016,0.268,0.141,1
Ptprh,5.31E-05,-2.547219704,0.084,0.017,1
Vasn,5.37E-05,-0.875531724,0.335,0.194,1
Abcd3,5.52E-05,-0.72889876,0.303,0.169,1
Bphl,5.57E-05,-0.419305515,0.526,0.368,1
Thrap3,5.61E-05,0.439565489,0.414,0.388,1
Rpl35a,5.66E-05,-0.295127907,0.916,0.825,1
Lgals7,5.81E-05,-2.75541912,0.072,0.011,1
Ergic3,5.88E-05,0.436637264,0.464,0.446,1
Cox7a1,5.98E-05,-1.961832582,0.119,0.036,1
Pkia,6.00E-05,-0.304925789,0.474,0.327,1
ENSMUSG00000125697,6.13E-05,-0.191676942,0.422,0.296,1
Naca,6.18E-05,-0.270380698,0.792,0.651,1
Uqcrfs1,6.25E-05,-0.674361235,0.372,0.227,1
Plaat3,6.28E-05,-0.191129793,0.605,0.46,1
Gm42420,6.32E-05,-0.226394447,0.385,0.255,1
Cacng7,6.36E-05,-2.489402133,0.092,0.022,1
Rab11fip4,6.37E-05,-1.034634248,0.226,0.108,1
Pgls,6.38E-05,-0.368073684,0.449,0.302,1
Cln3,6.41E-05,-0.865736399,0.285,0.155,1
Zfp948,6.48E-05,-0.635542469,0.151,0.061,1
Ccdc81,6.51E-05,-0.544293324,0.419,0.269,1
Akap9,6.55E-05,0.14252194,0.67,0.576,1
Pkn1,6.55E-05,-0.198291361,0.233,0.136,1
Thsd4,6.70E-05,0.735721002,0.385,0.388,1
Dmbt1,6.78E-05,-0.961241113,0.243,0.122,1
Myrfl,7.09E-05,-1.760086515,0.146,0.055,1
Emilin3,7.14E-05,-4.233324459,0.032,0,1
ENSMUSG00000138523,7.14E-05,-4.2593435,0.032,0,1
Gm57268,7.14E-05,-4.421157719,0.032,0,1
Spaca9,7.25E-05,-0.2731613,0.563,0.41,1
Pigp,7.26E-05,-0.232706535,0.357,0.247,1
Gmpr,7.28E-05,-1.002665321,0.251,0.127,1
Mecom,7.31E-05,0.345168665,0.769,0.734,1
Chrm3,7.37E-05,-0.407077629,0.551,0.393,1
Prrc2c,7.44E-05,0.245537463,0.536,0.468,1
Fam118b,7.62E-05,-1.037559436,0.132,0.044,1
Usp2,7.62E-05,-0.562024996,0.4,0.252,1
Serpina9,7.72E-05,-0.562510185,0.367,0.224,1
Olfml3,7.84E-05,-0.60808148,0.144,0.058,1
Naaladl2,7.89E-05,1.031112836,0.241,0.343,1
Tmbim6,8.01E-05,0.136398906,0.695,0.634,1
Ppp1r12a,8.10E-05,-0.261125371,0.603,0.452,1
Fn1,8.26E-05,-1.572067121,0.181,0.08,1
Ptp4a2,8.40E-05,0.407268547,0.551,0.532,1
Atp5pf,8.43E-05,-0.121922218,0.737,0.598,1
Tnfaip8,8.63E-05,-0.182742369,0.692,0.543,1
Timp4,8.67E-05,0.579204007,0.303,0.28,1
Nudcd3,8.74E-05,0.136315111,0.509,0.413,1
Atp5f1d,8.75E-05,-0.231542539,0.717,0.573,1
Krt17,8.77E-05,-0.259224737,0.797,0.662,1
Capsl,8.77E-05,0.158722025,0.682,0.598,1
Akap13,8.78E-05,-0.160447532,0.715,0.573,1
Mt2,8.78E-05,0.252188993,0.938,0.967,1
Chchd1,8.81E-05,-0.597429225,0.283,0.155,1
Kif27,8.89E-05,-0.453216534,0.481,0.33,1
Thoc6,9.05E-05,-0.459349313,0.184,0.089,1
Cltb,9.09E-05,-0.175138443,0.447,0.31,1
Nsmce4a,9.25E-05,-0.303848794,0.149,0.069,1
Atp5mg,9.38E-05,-0.335701736,0.685,0.537,1
Brf2,9.52E-05,-1.060034607,0.169,0.069,1
Ndufs2,9.52E-05,-0.317532063,0.32,0.191,1
Txn2,9.60E-05,-0.228512143,0.288,0.175,1
Tm2d2,9.66E-05,-0.806908315,0.233,0.119,1
Igfbp5,9.68E-05,0.282457262,0.752,0.753,1
Pde4c,9.68E-05,-1.458107773,0.156,0.061,1
Ttc14,9.69E-05,-0.306066626,0.154,0.072,1
Kifap3,9.71E-05,-0.288765541,0.69,0.54,1
ENSMUSG00000122877,9.80E-05,-2.061937588,0.062,0.008,1
Polr2f,9.80E-05,0.328948489,0.509,0.46,1
Nudt4,9.97E-05,0.411340418,0.563,0.537,1
Pop5,0.000102521,-0.211347467,0.347,0.227,1
Map7,0.000102652,-0.199159253,0.576,0.44,1
ENSMUSG00000141942,0.00010269,-0.331891816,0.457,0.313,1
Abhd2,0.000103241,0.397123912,0.305,0.249,1
Dhx15,0.000103544,-0.319940065,0.357,0.227,1
Nfkbia,0.000103936,0.396719799,0.504,0.468,1
Ctcf,0.000104589,-0.529001773,0.273,0.155,1
Ephx1,0.000106341,0.503421768,0.427,0.418,1
Ppdpf,0.000107429,-0.108677019,0.395,0.28,1
Ldlrad1,0.000107517,0.308005671,0.576,0.54,1
Ndufab1,0.000108042,-0.23947447,0.509,0.368,1
Hnf4aos,0.000108395,-3.874035092,0.047,0.003,1
Lcn2,0.000109645,2.033858637,0.032,0.108,1
Kif16b,0.000111473,0.762126886,0.36,0.413,1
Ndufb10,0.000111746,-0.175287052,0.648,0.501,1
Trio,0.000113713,0.228756354,0.524,0.452,1
Cars1,0.000114552,-0.24796736,0.325,0.208,1
Coq10b,0.000115601,-0.689495052,0.427,0.28,1
Il2rb,0.000115837,-1.909742021,0.097,0.025,1
Psma5,0.000123042,-0.453924407,0.29,0.166,1
Cnn2,0.000123297,-0.605071144,0.471,0.321,1
Gm14963,0.000123483,-1.813509756,0.144,0.058,1
Herpud1,0.000124727,-0.491463939,0.526,0.374,1
Ramp3,0.000127567,-1.412100789,0.109,0.033,1
Clic6,0.000127995,-0.202676813,0.474,0.346,1
Wdr1,0.000128279,0.231451895,0.529,0.476,1
Cenpx,0.000131,-0.221426129,0.367,0.244,1
Agbl4,0.000132769,0.241907829,0.71,0.648,1
Elmod1,0.000134733,-0.44839808,0.417,0.274,1
Vim,0.000135283,-0.165575839,0.337,0.23,1
Igf1r,0.000137112,-0.24477744,0.732,0.593,1
Dnah2,0.000137476,-0.51782028,0.655,0.507,1
Mak,0.000140842,-0.452867244,0.648,0.499,1
Mmrn1,0.000141323,-3.837527393,0.03,0,1
Dpf3,0.000141323,-4.395082502,0.03,0,1
Igkv3-2,0.000141323,-4.466426242,0.03,0,1
Prkag1,0.000143097,-0.268243932,0.27,0.166,1
Psmd9,0.000143967,-0.166701434,0.419,0.296,1
Cib1,0.000144348,-0.203744025,0.561,0.421,1
Frmpd2,0.000144784,-0.553331342,0.543,0.393,1
Cfap97d2,0.000145223,-0.264699247,0.578,0.432,1
Ece1,0.00014689,0.576947878,0.501,0.54,1
